Ensembl	EntrezGene
AT1G07250-TAIR-G	837236
AT1G07260-TAIR-G	837237
AT1G07270-TAIR-G	837238
AT1G07280-TAIR-G	837239
AT1G07290-TAIR-G	837240
AT1G07300-TAIR-G	837241
AT1G07310-TAIR-G	837242
AT1G07320-TAIR-G	837243
AT1G07330-TAIR-G	837244
AT1G07340-TAIR-G	837245
AT1G07350-TAIR-G	837246
AT1G07360-TAIR-G	837248
AT1G07370-TAIR-G	837249
AT1G07380-TAIR-G	837250
AT1G07390-TAIR-G	837251
AT1G07400-TAIR-G	837252
AT1G07410-TAIR-G	837253
AT1G07420-TAIR-G	837254
AT1G07430-TAIR-G	837255
AT1G07440-TAIR-G	837256
AT1G07450-TAIR-G	837257
AT1G07460-TAIR-G	837258
AT1G07470-TAIR-G	837259
AT1G07473-TAIR-G	837260
AT1G07476-TAIR-G	837261
AT1G07480-TAIR-G	837262
AT1G07485-TAIR-G	5007669
AT1G07490-TAIR-G	837263
AT1G07500-TAIR-G	837264
AT1G07510-TAIR-G	837265
AT1G07520-TAIR-G	837266
AT1G07530-TAIR-G	837267
AT1G07540-TAIR-G	837268
AT1G07550-TAIR-G	837269
AT1G07560-TAIR-G	837270
AT1G07570-TAIR-G	837271
AT1G07590-TAIR-G	837272
AT1G07600-TAIR-G	837273
AT1G07610-TAIR-G	837274
AT1G07615-TAIR-G	5007670
AT1G07620-TAIR-G	837275
AT1G07630-TAIR-G	837276
AT1G07640-TAIR-G	837277
AT1G07645-TAIR-G	2745745
AT1G07650-TAIR-G	837278
AT1G07660-TAIR-G	817423
AT1G07660-TAIR-G	823736
AT1G07660-TAIR-G	823777
AT1G07660-TAIR-G	824540
AT1G07660-TAIR-G	836090
AT1G07660-TAIR-G	836119
AT1G07660-TAIR-G	837279
AT1G07660-TAIR-G	837297
AT1G07670-TAIR-G	837280
AT1G07680-TAIR-G	837281
AT1G07690-TAIR-G	837282
AT1G07700-TAIR-G	837283
AT1G07705-TAIR-G	837284
AT1G07710-TAIR-G	837285
AT1G07720-TAIR-G	837286
AT1G07725-TAIR-G	837287
AT1G07730-TAIR-G	2745746
AT1G07740-TAIR-G	837288
AT1G07745-TAIR-G	837289
AT1G07747-TAIR-G	5007672
AT1G07750-TAIR-G	837290
AT1G07770-TAIR-G	836107
AT1G07770-TAIR-G	837291
AT1G07780-TAIR-G	837292
AT1G07790-TAIR-G	837293
AT1G07795-TAIR-G	837294
AT1G07810-TAIR-G	837296
AT1G07820-TAIR-G	817423
AT1G07820-TAIR-G	823736
AT1G07820-TAIR-G	823777
AT1G07820-TAIR-G	824540
AT1G07820-TAIR-G	836090
AT1G07820-TAIR-G	836119
AT1G07820-TAIR-G	837279
AT1G07820-TAIR-G	837297
AT1G07830-TAIR-G	837298
AT1G07840-TAIR-G	837299
AT1G07850-TAIR-G	837300
AT1G07860-TAIR-G	837301
AT1G07870-TAIR-G	837302
AT1G07880-TAIR-G	837303
AT1G07885-TAIR-G	7922436
AT1G07890-TAIR-G	837304
AT1G07900-TAIR-G	837305
AT1G07901-TAIR-G	6240572
AT1G07910-TAIR-G	837306
AT1G07920-TAIR-G	836161
AT1G07920-TAIR-G	837307
AT1G07920-TAIR-G	837308
AT1G07920-TAIR-G	837309
AT1G07930-TAIR-G	836161
AT1G07930-TAIR-G	837307
AT1G07930-TAIR-G	837308
AT1G07930-TAIR-G	837309
AT1G07940-TAIR-G	836161
AT1G07940-TAIR-G	837307
AT1G07940-TAIR-G	837308
AT1G07940-TAIR-G	837309
AT1G07950-TAIR-G	837310
AT1G07960-TAIR-G	837311
AT1G07970-TAIR-G	837312
AT1G07980-TAIR-G	837313
AT1G07985-TAIR-G	2745747
AT1G07990-TAIR-G	837314
AT1G08000-TAIR-G	837315
AT1G08005-TAIR-G	5007673
AT1G08010-TAIR-G	837316
AT1G08030-TAIR-G	837318
AT1G08032-TAIR-G	7922518
AT1G08035-TAIR-G	837319
AT1G08040-TAIR-G	837320
AT1G08050-TAIR-G	837321
AT1G08060-TAIR-G	837322
AT1G08065-TAIR-G	837324
AT1G08070-TAIR-G	837325
AT1G08080-TAIR-G	837326
AT1G08090-TAIR-G	837327
AT1G08100-TAIR-G	837328
AT1G08110-TAIR-G	837330
AT1G08120-TAIR-G	837331
AT1G08125-TAIR-G	2745748
AT1G08130-TAIR-G	837333
AT1G08135-TAIR-G	837334
AT1G08140-TAIR-G	837335
AT1G08150-TAIR-G	837336
AT1G08160-TAIR-G	837337
AT1G08165-TAIR-G	6241460
AT1G08170-TAIR-G	837338
AT1G08180-TAIR-G	837339
AT1G08190-TAIR-G	837340
AT1G08200-TAIR-G	837341
AT1G08210-TAIR-G	837342
AT1G08220-TAIR-G	837343
AT1G08230-TAIR-G	837344
AT1G08250-TAIR-G	837345
AT1G08260-TAIR-G	837346
AT1G08270-TAIR-G	837347
AT1G08280-TAIR-G	837348
AT1G08290-TAIR-G	837349
AT1G08300-TAIR-G	837350
AT1G08310-TAIR-G	837351
AT1G08315-TAIR-G	837352
AT1G08320-TAIR-G	837353
AT1G08340-TAIR-G	837354
AT1G08350-TAIR-G	837355
AT1G08360-TAIR-G	837356
AT1G08370-TAIR-G	837357
AT1G08380-TAIR-G	837358
